rname,N_infty per mole parent,uncertainty,min_N_infty
Si30-190,114245.31507527884,1476.0737410255558,52.73449196463803
Si30-105,148201.88961353962,2542.8045621781775,22.174423767251483
Si30-107,1601044.007444829,5833.723713797445,12887.28057461608
Si30-116,17601.63069643113,586.0529915163562,0.7990425448254755
P31-34,4913752.752036851,16069.852395834481,23963.332027084925
P31-183,9822672.74731618,24628.031771056678,112928.61246257508
P31-186,388330.3829475985,2752.942720409261,596.1505217110147
P31-190,16323770.079404281,34738.21018971675,274481.93603924447
P31-192,29339.39039909827,745.1401299670506,3.493623325945275
P31-103,198679969.4248242,3929296.786845108,23597.70465659537
P31-107,117990878.3231449,176608.73904507313,4514085.395731058
P31-112,5883213.604601698,12545.597282574647,69284.30968160013
P31-116,2639466.3315952388,11290.375640681616,6810.032599722433
S32-186,1933324.6001760436,9529.562695911349,6138.065607758741
S32-192,132156.19048580772,2400.3812948938507,30.698236260250074
S32-112,26009628.549954776,48934.97572411862,392523.96578551823
S33-45,178365.07453159068,2791.3996996248006,35.59605093684465
S33-193,1254.0280774444034,180.93732657001632,0.004082783590269378
S33-117,29891.214923073592,1139.0745942000774,0.8759157448085136
S34-155,27138.282162927124,1085.2899033128563,0.943077242829212
S34-158,98826.05279440776,2074.249790381758,17.11704483817783
S34-159,265454.943406323,3411.7078747419396,123.92935084490728
S34-108,28726.748135394842,737.2983670146615,2.203514490652529
Cl35-108,2645027.894823299,11303.483074042459,8002.0368078703
Cl37-30,236936.59635349055,3221.275115796432,98.83898917303387
K39-109,70273.89242377525,1748.0563796314818,7.757669738829986
Sc45-102,16524398229.172665,271067554.8303395,29808819.91705381
Ti46-16,25129798.165770344,125452.99925739897,37671.77008142147
Ti46-103,26119431.42413699,446828.6385186068,4919.884472852496
Ti47-17,5858283.286381776,29882.99852600066,9001.501563194779
Ti47-103,13740378.144997517,116361.92278738575,8982.269143051122
Ti48-28,215884848.057899,1767845.1383688182,118029.37114068042
Ti48-37,12124646.166033877,60969.05447869964,35418.1240607185
Ti48-103,52690714.832926065,123613.5966800431,497976.1269721835
Ti48-104,45630400.1608982,376938.4752531321,24240.533489768895
Ti49-152,101420.13026174883,997.4446648274006,80.9077021674492
Ti49-28,9853670.387148352,30850.726613773295,36642.94934050187
Ti49-32,2191373.4138850276,21687.7419795762,926.5497073574892
Ti49-41,9904565.970951919,84997.63544622043,5628.524449271152
Ti49-104,1843281.1485493772,9827.870405370379,2399.7901356267844
Ti49-105,474825.1421174109,6893.44249324038,95.24169478943398
Ti50-11,1256387.1665664315,13830.108536288652,723.2749629887263
Ti50-32,1565022.3883762779,8883.171332245265,2121.866946621974
Ti50-33,457195.4990755488,6724.378853265481,96.91686875065925
Ti50-41,5336132.322529322,19802.87527912908,18302.033653711085
Ti50-42,3719137.304548722,34314.634198174936,3255.89921394806
Ti50-105,244590.4782319436,3909.208401918117,40.82061286903899
V51-22,50374309.61678185,415695.861462761,35688.85921505599
V51-34,5128381.419465202,19262.974381099186,22241.880311952245
V51-176,5292499.97222034,47237.42638761136,5117.21703723975
V51-179,1115168.3674458792,12619.919721761513,671.897676849058
V51-183,1402858.1622404158,8310.71248627982,3013.3609503870343
V51-184,908727.4554932598,10828.629730141893,491.15261183795224
V51-190,3200361.116940934,13998.657923383824,12858.75433437182
V51-107,18020354.00402073,49250.73989919982,168570.0427374775
V51-116,288019.1000963299,3573.1214069261796,107.38734898050058
Cr50-24,725549.3818486446,4282.0733675617175,991.463609807888
Cr50-177,5705.255382948365,206.00433539904625,0.3376506158210287
Cr50-102,424011400.6214717,2041908.8209656589,8764529.583500344
Cr52-16,661203130.9563619,2798172.0481032156,1501547.7959761147
Cr52-165,51743.76620387143,666.2634156165672,24.081147203971682
Cr52-45,5834666.023536756,51682.49835859261,4522.369641015733
Cr52-112,1119430.274105195,7260.2174255832315,1135.4933873507946
Cr52-117,354989.4565339371,5717.296392528953,80.75224317239415
Cr53-17,33013428.649279464,464030.22895486944,7141.572707184174
Cr53-159,295572.40479007695,5103.357060600264,76.47203713926268
Mn55-16,905701738.1736226,3970449.36158766,2837115.4328116095
