rname,0,1,2,3,4,5,6,7,8,9,10
P31-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018794032884606533,0.005353064119791279
P31-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2740591386575487e-08,0.00021879003305735778
P31-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.283473590061546e-05,0.009136858505727397
P31-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935364160362014e-08,1.649310006696321e-05
P31-103,0.0,0.0,0.0,0.0,0.0,0.0,2.008465215548791e-06,0.06539324792386791,0.05374944002486141,0.016881569849307974,0.009726199578362061
P31-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026814068840024692,0.0646242597487562,0.003779131668175929,0.00030680023136526644
P31-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5073971910909825e-05,0.002670502076802835,0.0007011432811283015
P31-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041462838089020577,0.0010868600056917858
S32-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.712762251416935e-07,0.0010891543279449181
S32-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6495265235294676e-07,7.420676561907579e-05
S32-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005988639363075492,0.011844504993249445,0.0028350333443650255
S33-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5602288032510084e-05,7.577923921516868e-05
S33-193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.771559607072975e-08,6.605040748352496e-07
S33-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3323959213674111e-14,6.183169374743767e-06,1.087206212945421e-05
S34-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6877536475804276e-06,1.2695823480072858e-05
S34-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.226590288691504e-07,5.537139073841426e-05
S34-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.451598851532884e-08,0.00014952595267545815
S34-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.819127172641068e-10,1.2403185838714985e-05,4.2099162600099605e-06
Cl35-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3182740686157977e-19,2.0309332336691988e-05,0.0012263718475001252,0.0002932235747582047
Cl37-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.895138319258162e-08,0.0001334531852959498
K39-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2841110097616882e-18,2.5124786597271717e-06,3.7169545296633595e-05
Sc45-102,22.510701278670698,5.741813900568355,2.1197635102973194,1.0301762491054494,0.31458529773161187,0.05027198621283118,0.009566497633440262,0.0007363344031567642,0.00039069952512720864,0.00010068443761473777,4.060003933499555e-05
Ti46-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004373741356407546,0.008082424244417422,0.003552055337777454
Ti46-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591562127317878,0.01063088044180742,0.0024316548517570027,0.0008992102125253251
Ti47-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001708210750684174,0.0016515062790226367
Ti47-103,0.0,0.0,0.0,0.0,0.0,0.0,8.362193084491158e-07,0.003021888658621124,0.004926766613623071,0.0016088778179642355,0.0006516182254155858
Ti48-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018556006787126496,0.07014307400682543,0.0420207139501734
Ti48-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015460925546879575,0.006682278423406889
Ti48-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003030939577483065,0.021753539673988718,0.009844483194958968,0.003854386576000941
Ti48-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1449906053693574e-08,0.0036732369346416617,0.014433443063156064,0.009419953719741282
Ti49-152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7144540377365806e-05
Ti49-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005384985508590707,0.0029551936511507857,0.002353535381495993
Ti49-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.691972270602097e-08,0.0004939005364208856,0.0007578353655609914
Ti49-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2233874344291815e-15,0.002155793405104754,0.0034992102726853058
Ti49-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.56750843772334e-12,0.0001517699221502223,0.0006064323968082672,0.00035578381596616067
Ti49-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3624990730822943e-05,0.00017686093220006926,8.804172821951092e-05
Ti50-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7125318668332046e-05,0.0006720583843229536
Ti50-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003008274196860902,0.000591348051612685
Ti50-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.737931050509614e-05,0.00018289289643566372
Ti50-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836960402931469,0.0021985108046348634
Ti50-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.774310859454835e-05,0.0020590831156530897
Ti50-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2278388130978196e-06,8.849439964101461e-05,5.158309982720355e-05
V51-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023404750860741928,0.02145096109022819,0.006171635246027054
V51-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035283548063923893,0.0025488858123967786
V51-176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7426710890966813e-06,0.0029793780319146168
V51-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52053756527348e-15,0.0006283346672496651
